customer_id,loan_amount,tenure_months,interest_rate,loan_type,application_date,default_flag
CUST000098,232930.99,48,14.3,Business,2025-01-22,1
CUST000099,377167.73,60,11.88,Business,2025-04-28,0
CUST000100,938537.89,120,8.27,Education,2023-12-24,0
CUST000101,1204548.74,24,14.7,Home,2024-10-09,0
CUST000102,323941.98,84,12.83,Personal,2025-06-21,0
CUST000103,122987.39,60,10.58,Home,2025-09-03,0
CUST000104,321623.37,36,11.88,Home,2025-02-22,0
CUST000105,93883.8,60,9.76,Personal,2024-12-10,0
CUST000106,401434.53,24,11.8,Home,2024-07-13,0
CUST000107,812969.41,36,13.92,Education,2025-11-19,0
CUST000108,414749.32,48,10.56,Personal,2025-09-09,0
CUST000109,729483.16,36,10.3,Auto,2025-09-26,0
CUST000110,90604.28,36,6.35,Auto,2024-02-28,0
CUST000111,506963.45,12,10.18,Home,2024-07-03,0
CUST000112,260919.27,120,10.55,Education,2023-02-06,0
CUST000113,321062.32,48,9.61,Home,2023-03-11,1
CUST000114,191801.06,84,10.32,Auto,2024-10-28,0
CUST000115,179921.3,84,13.06,Auto,2023-07-15,0
CUST000116,132339.1,60,6.17,Education,2024-03-12,0
CUST000117,501547.95,120,6.0,Personal,2023-04-20,0
CUST000118,1293852.04,24,6.0,Business,2024-05-20,0
CUST000119,376169.21,12,17.02,Education,2023-05-03,0
CUST000120,333969.35,120,12.17,Home,2023-12-08,0
CUST000121,173812.87,60,11.69,Personal,2025-11-28,0
CUST000122,674524.1,36,10.77,Home,2023-12-14,0
CUST000123,912625.39,12,8.58,Auto,2023-10-05,0
CUST000124,158756.97,36,6.19,Home,2025-12-20,0
CUST000125,816565.16,12,22.28,Personal,2023-10-20,1
CUST000126,530808.95,48,8.49,Auto,2024-07-05,0
CUST000127,149032.07,48,12.52,Business,2023-04-23,0
CUST000128,817454.11,48,9.03,Personal,2024-06-15,1
CUST000129,452787.78,120,11.71,Auto,2025-06-03,0
CUST000130,296541.33,120,9.72,Personal,2023-05-25,0
CUST000131,208795.18,120,9.61,Personal,2025-11-11,0
CUST000132,96434.23,12,10.38,Education,2024-05-27,0
CUST000133,119316.96,60,12.98,Home,2023-12-14,0
CUST000134,292790.97,12,15.33,Auto,2025-10-20,1
CUST000135,570719.91,12,10.6,Home,2025-09-08,0
CUST000136,70338.17,84,9.9,Home,2024-11-08,0
CUST000137,79279.93,84,7.48,Auto,2025-02-22,0
CUST000138,79162.9,84,11.27,Education,2023-04-03,0
CUST000139,388928.25,36,11.34,Home,2024-08-20,1
CUST000140,785723.67,84,13.46,Home,2025-01-03,0
CUST000141,600030.32,60,12.69,Education,2024-07-04,1
CUST000142,330258.28,12,18.78,Auto,2024-12-20,0
CUST000143,504965.42,36,9.18,Home,2025-06-20,0
CUST000144,803220.05,120,12.24,Business,2024-07-20,0
CUST000145,215115.17,24,12.7,Auto,2023-06-13,0
CUST000146,396508.01,120,11.5,Auto,2024-10-29,0
CUST000147,139365.32,12,12.77,Business,2023-08-20,0
CUST000148,869523.41,12,13.32,Business,2025-05-14,0
CUST000149,239277.09,84,6.83,Personal,2025-01-26,0
CUST000150,457929.41,120,11.22,Business,2023-08-04,0
CUST000151,631231.31,60,9.68,Home,2025-05-12,0
CUST000152,1253898.57,84,12.12,Personal,2025-01-14,1
CUST000153,184534.78,48,7.2,Auto,2024-01-21,0
CUST000154,191809.81,48,6.31,Auto,2025-12-08,0
CUST000155,731243.27,12,15.81,Personal,2024-12-04,1
CUST000156,424577.76,60,7.52,Education,2023-09-07,0
CUST000157,908238.3,24,11.38,Auto,2024-11-18,1
CUST000158,937541.3,60,9.22,Education,2024-07-02,0
CUST000159,462193.25,60,12.12,Business,2024-10-18,0
CUST000160,485895.73,24,13.54,Auto,2024-08-03,0
CUST000161,996719.87,84,7.49,Personal,2024-05-19,0
CUST000162,790839.81,36,9.54,Business,2025-12-26,0
CUST000163,133611.72,120,11.48,Education,2025-12-09,0
CUST000164,56390.62,120,13.01,Home,2025-05-28,0
CUST000165,579026.25,120,10.85,Personal,2025-03-02,0
CUST000166,525069.77,120,13.95,Home,2023-10-31,0
CUST000167,1684090.17,24,8.44,Personal,2024-10-06,0
CUST000168,168843.0,36,15.91,Business,2024-01-29,0
CUST000169,274181.46,12,13.09,Business,2023-12-29,0
CUST000170,186163.42,60,14.81,Education,2023-02-10,0
CUST000171,296530.97,48,14.5,Business,2024-02-09,1
CUST000172,75387.68,24,10.95,Auto,2023-03-23,0
CUST000173,406955.49,48,14.49,Auto,2023-03-17,0
CUST000174,139799.87,120,12.19,Home,2025-08-17,0
CUST000175,107577.03,48,15.09,Education,2025-03-26,0
CUST000176,584108.24,60,13.43,Business,2023-05-16,0
CUST000177,380484.8,60,15.31,Personal,2023-03-28,0
CUST000178,215868.49,12,11.69,Education,2025-11-26,0
CUST000179,598397.34,120,12.47,Education,2025-04-04,0
CUST000180,182528.48,36,6.0,Auto,2024-11-18,0
CUST000181,551682.98,48,9.55,Auto,2023-05-22,0
CUST000182,748434.0,12,10.21,Auto,2025-09-18,0
CUST000183,138039.69,24,13.07,Auto,2024-01-11,0
CUST000184,357498.71,84,13.35,Home,2023-06-25,0
CUST000185,421584.37,120,9.42,Business,2024-04-28,0
CUST000186,852163.86,120,13.9,Education,2024-10-15,0
CUST000187,1830077.5,84,10.71,Auto,2024-05-26,1
CUST000188,420250.07,120,13.06,Education,2025-11-27,0
CUST000189,365876.17,60,7.23,Education,2024-01-15,0
CUST000190,446808.44,48,6.04,Personal,2024-07-23,0
CUST000191,456516.23,12,10.3,Auto,2025-02-17,1
CUST000192,1763303.27,12,10.49,Business,2025-06-07,0
CUST000193,433698.14,60,10.99,Auto,2025-08-02,0
CUST000194,499107.11,36,12.34,Business,2025-07-29,0
CUST000195,1003057.45,120,14.72,Education,2023-11-07,1
CUST000196,42597.61,48,7.55,Home,2023-02-13,0
CUST000197,739680.45,36,13.22,Home,2024-07-22,1
CUST000198,2550332.18,12,6.0,Auto,2025-01-06,1
CUST000199,427878.47,12,10.09,Personal,2025-10-21,1
CUST000200,646438.22,36,8.66,Education,2023-02-26,0
CUST000201,599809.65,24,12.83,Education,2024-05-04,0
CUST000202,723587.4,84,6.0,Education,2024-01-03,1
CUST000203,403222.43,12,13.67,Education,2023-01-03,1
CUST000204,610337.96,84,16.13,Education,2024-03-07,0
CUST000205,282714.16,84,9.12,Personal,2025-11-22,0
CUST000206,289578.34,120,6.0,Education,2025-11-27,0
CUST000207,230431.84,120,11.89,Home,2023-03-08,0
CUST000208,683229.63,36,6.35,Education,2023-01-17,1
CUST000209,1808879.32,120,14.9,Personal,2023-09-06,0
CUST000210,252460.78,24,11.24,Business,2023-11-06,0
CUST000211,309232.77,12,9.94,Auto,2023-01-17,0
CUST000212,220864.93,84,11.85,Auto,2025-08-07,0
CUST000213,948036.98,36,7.0,Personal,2025-02-25,0
CUST000214,250178.21,36,17.85,Home,2025-12-24,0
CUST000215,52374.54,24,13.47,Auto,2025-05-12,0
CUST000216,304249.19,12,15.24,Education,2024-03-22,0
CUST000217,471242.29,84,14.2,Personal,2024-04-30,0
CUST000218,431315.1,36,17.22,Business,2023-09-23,0
CUST000219,579372.7,24,9.53,Home,2024-09-24,0
CUST000220,1138548.55,84,14.91,Education,2023-09-27,0
CUST000221,674455.82,120,8.7,Auto,2025-03-10,0
CUST000222,76497.98,84,14.7,Business,2024-10-23,0
CUST000223,1043315.93,36,6.0,Home,2024-09-02,0
CUST000224,425872.52,24,7.05,Auto,2025-10-20,1
CUST000225,314570.69,24,15.49,Education,2023-08-22,0
CUST000226,838504.49,84,7.4,Auto,2024-05-23,0
CUST000227,246903.25,24,8.56,Personal,2025-05-23,0
CUST000228,466715.09,24,11.02,Auto,2025-02-27,0
CUST000229,366882.15,48,10.3,Business,2023-03-24,0
CUST000230,1185626.38,60,12.5,Business,2023-07-25,0
CUST000231,366332.48,48,9.67,Home,2025-10-27,0
CUST000232,249336.15,60,8.3,Business,2024-06-18,0
CUST000233,510276.37,120,12.64,Personal,2023-06-20,0
CUST000234,183621.07,120,10.35,Auto,2025-05-20,0
CUST000235,789696.69,120,14.5,Auto,2025-08-15,0
CUST000236,790058.18,84,11.43,Education,2023-03-31,0
CUST000237,337308.34,84,13.86,Business,2025-07-18,0
CUST000238,438696.34,84,9.09,Business,2023-07-20,0
CUST000239,843899.47,84,12.08,Education,2025-03-05,1
CUST000240,581436.51,24,11.7,Home,2025-10-22,1
CUST000241,102802.88,24,9.02,Education,2024-10-27,0
CUST000242,203918.02,60,10.61,Business,2023-04-30,0
CUST000243,957997.19,120,11.7,Education,2025-08-23,0
CUST000244,1582843.63,36,11.82,Education,2024-04-03,0
CUST000245,330138.57,60,11.41,Auto,2025-12-01,0
CUST000246,69781.07,84,13.67,Education,2024-06-05,0
CUST000247,360036.08,36,16.27,Business,2023-04-16,0
CUST000248,449774.49,120,11.11,Personal,2025-09-21,0
CUST000249,411669.87,60,17.74,Auto,2024-12-04,0
CUST000250,641848.76,120,6.0,Business,2024-03-19,0
CUST000251,268496.85,120,7.7,Personal,2024-08-12,0
CUST000252,829691.02,12,10.81,Personal,2024-12-09,0
CUST000253,324585.97,36,13.55,Education,2023-07-23,0
CUST000254,338171.78,12,14.37,Home,2025-02-14,1
CUST000255,168390.42,60,6.0,Business,2023-06-19,0
CUST000256,373751.64,48,9.74,Business,2023-06-25,0
CUST000257,485112.36,120,8.58,Business,2024-09-05,0
CUST000258,659145.14,60,7.19,Business,2023-09-20,0
CUST000259,589035.97,84,13.71,Business,2024-10-19,0
CUST000260,639406.08,36,6.0,Home,2024-07-19,0
CUST000261,205325.98,120,9.95,Auto,2023-10-26,0
CUST000262,56472.38,48,12.45,Personal,2025-07-15,0
CUST000263,1244287.71,48,13.32,Personal,2023-05-08,0
CUST000264,935247.47,60,15.25,Personal,2024-08-27,0
CUST000265,190057.86,12,10.23,Auto,2025-10-23,0
CUST000266,144395.49,36,10.37,Education,2024-05-27,0
CUST000267,647297.47,60,9.32,Home,2025-04-01,0
CUST000268,727188.6,84,14.37,Personal,2025-12-28,0
CUST000269,414485.43,24,13.23,Home,2025-10-24,0
CUST000270,652099.91,120,10.14,Home,2024-09-17,0
CUST000271,112801.48,60,7.89,Home,2024-03-01,0
CUST000272,152206.0,36,6.0,Education,2023-12-04,0
CUST000273,137015.78,120,11.19,Personal,2025-11-19,0
CUST000274,555868.7,24,15.42,Business,2024-03-03,0
CUST000275,274757.56,120,13.72,Auto,2023-11-16,0
CUST000276,845567.32,84,10.14,Business,2025-04-02,1
CUST000277,400544.88,36,11.08,Personal,2024-01-14,0
CUST000278,196306.86,36,10.77,Auto,2024-09-06,0
CUST000279,666131.27,24,9.88,Education,2024-05-10,0
CUST000280,172473.77,84,15.11,Business,2024-08-12,0
CUST000281,261634.24,24,11.51,Auto,2025-11-22,0
CUST000282,396064.36,48,17.6,Education,2025-09-25,0
CUST000283,549505.83,24,10.12,Auto,2024-10-15,0
CUST000284,368208.81,12,12.44,Personal,2025-07-14,0
CUST000285,1413866.46,24,12.1,Personal,2024-12-20,0
CUST000286,394930.4,84,10.06,Auto,2024-05-05,0
CUST000287,488917.48,60,7.31,Personal,2023-06-30,0
CUST000288,390404.89,60,8.07,Business,2024-11-30,0
CUST000289,490248.77,60,11.56,Personal,2023-03-12,1
CUST000290,786800.3,12,8.91,Education,2024-07-16,1
CUST000291,441378.07,24,10.25,Education,2023-10-13,0
CUST000292,56880.71,36,12.52,Home,2025-01-20,0
CUST000293,600670.39,24,10.96,Personal,2025-07-29,0
CUST000294,288693.35,12,13.07,Business,2023-05-14,0
CUST000295,1182689.32,36,12.06,Home,2025-10-06,0
CUST000296,350494.18,120,10.33,Auto,2024-06-01,0
CUST000297,677297.63,120,10.82,Auto,2024-12-30,0
CUST000298,82419.31,24,11.28,Personal,2025-07-18,0
CUST000299,501616.4,120,12.4,Auto,2025-05-27,0
CUST000300,778711.01,12,12.93,Education,2024-12-13,0
CUST000301,270991.75,120,7.93,Business,2025-05-31,0
CUST000302,217707.12,48,12.74,Education,2024-03-29,0
CUST000303,116895.02,84,13.06,Personal,2023-01-23,0
CUST000304,127723.73,84,7.97,Home,2025-02-27,0
CUST000305,214269.92,36,17.77,Business,2023-04-09,0
CUST000306,280322.05,84,8.43,Home,2025-05-23,0
CUST000307,372846.51,36,17.28,Business,2023-02-11,0
CUST000308,340862.32,60,11.56,Home,2024-05-09,0
CUST000309,640667.65,84,11.62,Auto,2024-03-05,0
CUST000310,600555.37,24,12.49,Personal,2025-07-14,0
CUST000311,1343530.3,120,11.2,Education,2025-11-10,0
CUST000312,220724.09,36,13.54,Education,2024-04-01,0
CUST000313,153404.86,12,11.08,Business,2025-04-16,0
CUST000314,219138.42,84,13.37,Personal,2023-02-16,0
CUST000315,64603.39,24,15.89,Home,2025-06-19,0
CUST000316,597064.88,60,10.62,Personal,2024-04-10,0
CUST000317,1285891.58,120,11.9,Personal,2024-09-26,1
CUST000318,676088.08,48,6.97,Business,2023-07-08,0
CUST000319,687406.87,120,8.49,Personal,2024-10-05,0
CUST000320,32208.42,12,10.6,Business,2024-12-31,0
CUST000321,580614.62,84,14.51,Personal,2024-10-24,0
CUST000322,171035.48,12,13.14,Auto,2025-12-22,0
CUST000323,199715.61,24,11.87,Business,2024-02-06,0
CUST000324,580652.3,12,9.3,Personal,2024-08-16,0
CUST000325,309786.43,84,10.98,Personal,2023-08-23,0
CUST000326,445264.21,84,10.11,Personal,2024-09-14,0
CUST000327,590089.53,48,10.41,Auto,2024-06-28,0
CUST000328,1539564.81,36,14.08,Home,2025-11-09,1
CUST000329,294864.18,120,9.77,Business,2024-08-30,0
CUST000330,371457.92,120,7.13,Education,2023-07-30,0
CUST000331,495173.61,48,10.3,Auto,2025-12-17,1
CUST000332,189059.63,24,14.82,Auto,2025-12-17,0
CUST000333,1801672.44,12,15.61,Personal,2023-06-06,0
CUST000334,447059.79,48,6.1,Business,2023-09-20,0
CUST000335,261630.0,36,6.61,Auto,2024-07-30,0
CUST000336,498559.97,120,9.57,Personal,2025-09-26,1
CUST000337,744956.43,24,14.63,Business,2024-01-17,0
CUST000338,882052.3,84,11.72,Business,2023-05-27,0
CUST000339,869893.53,12,6.0,Education,2025-11-14,0
CUST000340,628806.49,60,8.79,Auto,2024-06-22,0
CUST000341,409551.97,24,13.43,Personal,2024-12-02,0
CUST000342,718499.18,12,11.07,Auto,2023-11-10,0
CUST000343,342898.04,60,9.07,Auto,2023-02-06,0
CUST000344,1128504.4,24,10.99,Education,2023-01-11,0
CUST000345,321516.24,36,14.0,Auto,2024-07-28,0
CUST000346,672885.1,84,16.44,Business,2023-06-02,0
CUST000347,198545.58,36,10.15,Personal,2025-02-19,0
CUST000348,905095.43,36,17.08,Personal,2025-03-24,0
CUST000349,525915.29,84,12.65,Business,2023-05-27,1
CUST000350,250415.55,120,9.43,Auto,2023-02-08,0
CUST000351,1081454.52,48,12.31,Business,2025-11-09,1
CUST000352,341220.39,24,9.55,Personal,2024-01-23,0
CUST000353,689726.39,24,8.28,Home,2023-06-25,0
CUST000354,246860.15,60,9.63,Business,2025-06-17,0
CUST000355,557687.8,36,6.21,Auto,2025-06-08,1
CUST000356,175375.62,60,11.22,Personal,2025-05-18,0
CUST000357,370130.15,24,14.43,Auto,2025-10-05,0
CUST000358,336336.35,12,8.46,Business,2025-08-09,0
CUST000359,667450.07,84,11.88,Education,2025-12-25,0
CUST000360,976923.86,12,11.87,Education,2024-11-20,0
CUST000361,80432.68,24,12.63,Business,2024-03-31,0
CUST000362,178690.68,84,14.66,Auto,2024-04-26,0
CUST000363,150011.95,36,13.97,Home,2024-07-18,0
CUST000364,166583.37,60,14.77,Auto,2025-08-16,0
CUST000365,628016.81,84,10.44,Business,2025-05-18,0
CUST000366,222279.75,84,9.04,Education,2025-07-28,0
CUST000367,359534.98,48,12.84,Business,2024-01-13,1
CUST000368,128893.49,84,6.0,Personal,2024-09-25,0
CUST000369,461136.11,60,15.16,Home,2024-04-30,0
CUST000370,159384.32,24,9.44,Personal,2023-04-25,0
CUST000371,300661.61,48,12.23,Auto,2023-05-26,0
CUST000372,1226364.19,60,9.04,Home,2025-10-30,1
CUST000373,689870.17,120,11.72,Education,2024-03-23,0
CUST000374,694608.17,12,6.0,Personal,2024-11-23,0
CUST000375,582427.7,48,6.76,Business,2023-02-13,0
CUST000376,204930.5,120,10.98,Home,2025-03-13,0
CUST000377,728317.43,24,12.59,Education,2025-09-09,1
CUST000378,362032.25,12,10.33,Personal,2025-01-26,0
CUST000379,250850.78,24,6.0,Personal,2023-08-07,1
CUST000380,347513.91,120,12.49,Personal,2024-11-03,0
CUST000381,44585.7,84,13.63,Education,2024-07-21,0
CUST000382,219452.54,12,9.0,Business,2025-10-19,0
CUST000383,534297.51,24,10.55,Auto,2024-11-16,0
CUST000384,627093.24,24,8.19,Home,2024-02-02,0
CUST000385,176681.57,12,12.54,Education,2024-07-26,0
CUST000386,830546.27,12,7.83,Business,2024-08-16,1
CUST000387,239166.77,36,6.0,Personal,2024-04-05,0
CUST000388,444528.37,24,12.4,Home,2023-05-05,0
CUST000389,292239.95,84,12.39,Business,2023-01-16,0
CUST000390,828783.41,24,12.97,Auto,2024-03-10,0
CUST000391,207378.24,120,18.26,Auto,2023-10-11,0
CUST000392,372649.41,36,11.85,Home,2023-12-25,0
CUST000393,637672.25,12,11.05,Business,2023-01-15,0
CUST000394,240063.6,120,9.58,Business,2025-12-15,0
CUST000395,654256.72,36,9.27,Personal,2025-02-04,0
CUST000396,996886.06,24,6.49,Education,2023-01-16,0
CUST000397,615956.9,60,14.69,Personal,2023-11-17,0
CUST000398,1524749.91,24,8.61,Auto,2025-07-21,0
CUST000399,1151446.52,60,10.49,Home,2024-08-28,1
CUST000400,188808.38,84,7.85,Home,2024-06-10,0
CUST000401,385321.58,36,10.26,Business,2025-03-15,0
CUST000402,560962.53,24,12.94,Personal,2025-08-26,0
CUST000403,205087.97,12,8.69,Auto,2025-08-10,0
CUST000404,296555.12,84,12.2,Personal,2024-06-04,0
CUST000405,696102.39,36,12.95,Personal,2025-05-15,0
CUST000406,1092857.39,36,13.46,Home,2023-09-30,0
CUST000407,349391.1,12,8.19,Business,2025-03-21,0
CUST000408,1637541.68,24,10.5,Education,2024-03-22,0
CUST000409,1046251.29,84,8.65,Auto,2023-07-15,0
CUST000410,401334.69,60,14.18,Personal,2024-10-28,0
CUST000411,224441.24,48,12.64,Personal,2023-09-17,0
CUST000412,635075.06,48,11.88,Personal,2023-05-26,0
CUST000413,772003.4,24,6.99,Home,2025-10-18,0
CUST000414,397067.72,60,10.79,Home,2023-09-27,0
CUST000415,1187122.42,48,8.02,Education,2023-08-05,0
CUST000416,850887.88,120,13.47,Auto,2024-10-13,1
CUST000417,86352.85,60,12.67,Home,2024-02-28,0
CUST000418,878468.53,60,12.53,Education,2025-06-30,0
CUST000419,368881.81,24,10.06,Business,2025-11-16,0
CUST000420,37010.59,12,11.32,Personal,2024-02-09,0
CUST000421,299880.91,24,9.09,Home,2025-09-21,0
CUST000422,657171.37,36,12.76,Auto,2025-06-19,0
CUST000423,1221204.1,36,9.6,Auto,2023-05-30,0
CUST000424,226404.61,24,16.81,Business,2025-09-18,0
CUST000425,237973.7,48,18.37,Home,2024-03-20,0
CUST000426,949623.27,60,11.75,Business,2025-01-16,0
CUST000427,523260.56,60,6.0,Business,2023-06-20,0
CUST000428,480827.02,60,6.0,Auto,2025-08-11,0
CUST000429,542627.7,84,12.86,Business,2024-11-15,0
CUST000430,477963.2,36,9.64,Auto,2024-04-01,0
CUST000431,270188.59,36,12.01,Business,2023-11-28,1
CUST000432,331471.89,12,9.46,Education,2024-05-30,0
CUST000433,426986.27,48,11.04,Personal,2024-11-05,0
CUST000434,640265.48,36,10.23,Business,2024-07-29,0
CUST000435,318161.3,36,10.74,Auto,2025-07-02,0
CUST000436,346846.48,84,10.18,Personal,2025-05-13,0
CUST000437,1041623.03,120,15.34,Education,2023-12-30,1
CUST000438,92267.42,24,12.97,Personal,2024-05-09,0
CUST000439,330838.06,36,9.02,Home,2025-09-23,1
CUST000440,516580.65,84,11.15,Auto,2024-11-28,0
CUST000441,101390.49,60,11.95,Personal,2024-06-11,0
CUST000442,462840.63,24,7.7,Home,2023-02-25,0
CUST000443,216366.99,36,11.31,Business,2025-12-06,0
CUST000444,768783.57,24,6.0,Business,2025-07-31,0
CUST000445,2484841.43,12,13.7,Personal,2024-06-04,0
CUST000446,294095.78,36,15.7,Home,2025-08-21,0
CUST000447,436414.76,24,7.6,Personal,2024-02-20,0
CUST000448,355611.85,24,8.81,Personal,2023-07-24,0
CUST000449,607878.12,60,8.64,Education,2024-04-17,0
CUST000450,275808.55,84,13.56,Auto,2024-04-21,0
CUST000451,114965.6,48,13.32,Business,2025-12-04,0
CUST000452,299264.84,120,8.92,Personal,2023-09-24,1
CUST000453,97040.16,60,10.26,Business,2023-03-07,0
CUST000454,565495.05,12,7.89,Business,2025-10-31,0
CUST000455,715443.73,36,10.95,Business,2024-10-20,1
CUST000456,384878.17,60,10.65,Personal,2024-06-15,0
CUST000457,599939.01,60,11.57,Personal,2023-03-02,0
CUST000458,166409.73,120,11.92,Education,2025-04-26,0
CUST000459,450931.63,84,9.14,Business,2023-08-10,0
CUST000460,93704.52,36,8.5,Personal,2023-02-18,0
CUST000461,341253.93,84,13.34,Business,2024-12-30,0
CUST000462,682456.87,48,13.26,Home,2025-09-23,0
CUST000463,292488.97,84,11.14,Personal,2023-03-20,0
CUST000464,152354.82,120,15.74,Education,2025-03-04,0
CUST000465,753670.19,36,9.99,Education,2024-07-16,0
CUST000466,235886.05,84,10.61,Home,2023-08-09,0
CUST000467,493510.53,48,10.88,Home,2025-10-22,0
CUST000468,186385.76,60,9.69,Education,2023-03-06,0
CUST000469,467776.78,48,13.45,Home,2023-01-13,0
CUST000470,1009074.94,120,9.99,Business,2024-11-11,0
CUST000471,317502.39,60,9.18,Auto,2025-10-12,0
