customer_id,credit_score,credit_utilization,debt_ratio,open_credit_lines,past_due_30_59,past_due_60_89,past_due_90plus,real_estate_loans
CUST000088,611,0.1933,0.3664,4,0,0,0,0
CUST000089,531,0.4556,0.4457,6,0,1,0,0
CUST000090,581,0.2002,0.0518,1,0,1,0,0
CUST000091,605,0.2157,0.1776,2,0,0,0,0
CUST000092,426,0.2977,0.4104,6,0,0,0,1
CUST000093,621,0.1654,0.6448,3,0,0,0,0
CUST000094,713,0.1999,0.3888,4,0,0,0,2
CUST000095,823,0.1484,0.1845,5,0,0,0,0
CUST000096,697,0.1615,0.2945,1,0,0,0,0
CUST000097,568,0.1765,0.6136,4,0,0,0,0
CUST000098,560,0.2471,0.1387,5,0,2,0,1
CUST000099,642,0.4977,0.4237,2,1,0,0,0
CUST000100,653,0.2939,0.2484,1,0,0,0,0
CUST000101,639,0.3252,0.2398,5,0,0,0,1
CUST000102,754,0.1608,0.0769,6,0,0,0,0
CUST000103,689,0.4684,0.2175,5,0,0,0,1
CUST000104,693,0.1364,0.0881,4,0,0,0,0
CUST000105,680,0.66,0.1981,3,1,0,0,0
CUST000106,588,0.4521,0.441,6,0,1,0,0
CUST000107,502,0.2655,0.0163,5,0,0,0,0
CUST000108,638,0.4677,0.315,6,0,0,0,1
CUST000109,591,0.4991,0.2865,8,1,0,0,1
CUST000110,707,0.1419,0.4451,3,0,0,0,0
CUST000111,597,0.2049,0.2296,2,1,0,0,0
CUST000112,754,0.4212,0.1653,5,0,0,0,1
CUST000113,708,0.327,0.275,2,0,0,2,0
CUST000114,800,0.2384,0.2424,2,0,0,0,0
CUST000115,792,0.2059,0.2611,2,0,0,0,0
CUST000116,716,0.2763,0.3451,8,1,1,0,0
CUST000117,547,0.6615,0.3364,3,0,0,0,0
CUST000118,610,0.2369,0.3222,4,0,0,0,2
CUST000119,587,0.0733,0.3422,7,0,0,0,0
CUST000120,660,0.036,0.4877,5,0,0,0,0
CUST000121,691,0.1683,0.0365,8,1,0,1,0
CUST000122,622,0.4229,0.0677,5,1,0,0,2
CUST000123,704,0.3618,0.1128,1,1,0,0,0
CUST000124,591,0.5109,0.2393,5,0,0,0,1
CUST000125,443,0.752,0.5871,4,1,0,0,0
CUST000126,670,0.2563,0.5744,5,0,1,0,0
CUST000127,625,0.2255,0.0981,4,0,0,0,0
CUST000128,661,0.4842,0.6293,2,1,0,0,2
CUST000129,720,0.4389,0.3998,3,0,0,0,2
CUST000130,629,0.3459,0.321,10,0,0,0,1
CUST000131,540,0.2558,0.1502,6,0,0,0,2
CUST000132,597,0.2914,0.2678,5,1,0,0,0
CUST000133,777,0.298,0.546,7,1,0,0,1
CUST000134,689,0.6448,0.6633,6,0,1,1,1
CUST000135,755,0.383,0.1956,4,0,0,1,1
CUST000136,607,0.3755,0.2391,4,0,0,0,2
CUST000137,716,0.5679,0.1908,0,1,1,0,0
CUST000138,737,0.4248,0.2522,4,0,0,1,1
CUST000139,512,0.3102,0.2251,7,0,0,0,2
CUST000140,677,0.3245,0.4073,2,1,0,0,2
CUST000141,668,0.2601,0.2435,3,0,1,0,1
CUST000142,544,0.3598,0.6108,3,0,0,0,0
CUST000143,545,0.0437,0.5753,5,0,0,0,0
CUST000144,834,0.1109,0.4236,3,0,0,0,1
CUST000145,665,0.2916,0.1439,4,2,0,0,0
CUST000146,764,0.0782,0.4925,1,1,0,0,1
CUST000147,716,0.3242,0.1785,5,0,0,0,2
CUST000148,655,0.2514,0.26,3,1,0,0,0
CUST000149,559,0.1201,0.6436,6,1,0,0,0
CUST000150,708,0.3945,0.3035,5,1,0,0,0
CUST000151,651,0.2996,0.641,1,0,0,0,2
CUST000152,665,0.2583,0.3008,5,0,1,0,0
CUST000153,675,0.1401,0.4447,11,0,0,0,0
CUST000154,682,0.2267,0.4073,7,0,0,0,1
CUST000155,699,0.6182,0.6124,6,0,0,0,0
CUST000156,568,0.1766,0.3438,2,0,0,0,0
CUST000157,713,0.2304,0.3155,6,0,0,2,0
CUST000158,716,0.2991,0.661,2,1,0,0,1
CUST000159,669,0.3309,0.1462,4,1,0,0,0
CUST000160,704,0.3339,0.1016,6,1,0,0,0
CUST000161,780,0.4333,0.2155,2,0,0,0,1
CUST000162,726,0.6684,0.2864,4,0,0,0,1
CUST000163,547,0.2182,0.2713,4,0,0,0,0
CUST000164,602,0.0716,0.088,5,0,0,0,0
CUST000165,633,0.2507,0.6089,2,0,0,0,2
CUST000166,597,0.2759,0.2842,4,1,0,0,1
CUST000167,525,0.2946,0.211,5,0,1,0,0
CUST000168,735,0.2928,0.2943,6,0,0,0,1
CUST000169,579,0.4761,0.5718,3,0,0,0,1
CUST000170,760,0.1715,0.6748,4,0,0,0,0
CUST000171,504,0.6171,0.3309,3,0,0,1,0
CUST000172,720,0.3939,0.1593,4,1,0,1,0
CUST000173,727,0.1144,0.2023,1,0,0,0,0
CUST000174,671,0.3147,0.2149,4,0,0,0,1
CUST000175,627,0.356,0.2865,9,1,0,0,0
CUST000176,649,0.1607,0.3588,5,0,1,0,0
CUST000177,652,0.3446,0.2883,3,0,0,1,1
CUST000178,692,0.3008,0.3898,5,0,0,0,0
CUST000179,634,0.2532,0.4672,5,0,0,1,3
CUST000180,647,0.2382,0.1963,3,0,0,0,1
CUST000181,680,0.3373,0.6655,4,0,0,0,0
CUST000182,652,0.1304,0.1968,4,0,0,0,2
CUST000183,570,0.4006,0.4195,2,0,0,0,0
CUST000184,579,0.3897,0.4139,7,0,0,0,0
CUST000185,643,0.2857,0.2332,5,0,0,0,2
CUST000186,494,0.4191,0.3316,3,0,1,0,0
CUST000187,637,0.0622,0.693,3,1,0,0,1
CUST000188,665,0.305,0.2765,3,1,0,0,0
CUST000189,642,0.182,0.6007,1,0,0,0,0
CUST000190,691,0.2249,0.0198,3,0,0,0,0
CUST000191,668,0.7922,0.3712,2,0,1,0,0
CUST000192,727,0.1457,0.3314,2,0,0,0,0
CUST000193,664,0.3513,0.3532,3,0,0,0,1
CUST000194,824,0.2577,0.0574,4,0,0,0,1
CUST000195,653,0.2327,0.4133,2,0,1,1,1
CUST000196,719,0.3377,0.1316,3,0,1,0,0
CUST000197,633,0.0594,0.4338,4,2,0,0,1
CUST000198,653,0.1483,0.5277,4,1,1,0,0
CUST000199,565,0.1625,0.6202,9,0,1,0,0
CUST000200,641,0.3199,0.5217,3,0,0,0,2
CUST000201,575,0.0163,0.4862,4,0,0,0,0
CUST000202,753,0.2599,0.2649,4,1,1,1,0
CUST000203,666,0.4803,0.3833,7,0,0,0,1
CUST000204,701,0.1471,0.2531,3,0,1,0,0
CUST000205,493,0.4468,0.2637,4,0,0,0,1
CUST000206,504,0.3051,0.158,3,0,0,0,0
CUST000207,621,0.197,0.2278,5,0,0,0,0
CUST000208,522,0.1605,0.0363,7,2,0,0,1
CUST000209,396,0.3079,0.3069,10,0,0,0,0
CUST000210,722,0.2299,0.3531,6,0,0,1,0
CUST000211,679,0.0983,0.4216,3,0,0,0,0
CUST000212,578,0.1379,0.1791,4,0,0,0,0
CUST000213,661,0.3419,0.223,7,1,0,0,1
CUST000214,815,0.1753,0.5219,8,1,0,0,0
CUST000215,566,0.2444,0.3364,4,0,0,0,0
CUST000216,732,0.2748,0.1008,3,2,0,0,1
CUST000217,609,0.2248,0.5206,3,0,0,0,1
CUST000218,594,0.125,0.1114,3,0,0,0,1
CUST000219,537,0.3816,0.2778,5,0,0,0,1
CUST000220,663,0.3964,0.0668,5,0,0,0,1
CUST000221,723,0.0781,0.3156,4,0,1,0,0
CUST000222,678,0.1462,0.4035,2,1,0,0,0
CUST000223,630,0.4677,0.4675,7,0,0,0,0
CUST000224,592,0.5028,0.8109,6,2,0,0,2
CUST000225,806,0.3808,0.1882,4,0,1,0,1
CUST000226,600,0.0962,0.3646,5,0,0,0,4
CUST000227,599,0.3623,0.4192,2,0,0,1,0
CUST000228,509,0.0883,0.8316,7,0,0,0,0
CUST000229,808,0.1995,0.3683,8,0,0,0,0
CUST000230,498,0.3382,0.1808,7,0,0,0,0
CUST000231,736,0.321,0.1477,4,0,0,0,0
CUST000232,704,0.2516,0.11,1,1,1,0,1
CUST000233,607,0.5566,0.5011,5,0,0,0,0
CUST000234,670,0.5833,0.5933,8,0,0,0,0
CUST000235,692,0.4461,0.6225,3,0,1,0,0
CUST000236,854,0.397,0.3132,3,0,0,0,1
CUST000237,808,0.2656,0.6207,5,0,0,0,2
CUST000238,716,0.2388,0.0853,4,0,0,0,1
CUST000239,673,0.3709,0.0115,4,2,0,1,1
CUST000240,710,0.2628,0.3701,6,1,0,0,1
CUST000241,671,0.3319,0.3692,7,0,0,0,0
CUST000242,682,0.1463,0.4669,0,0,0,0,1
CUST000243,591,0.2284,0.233,3,0,0,0,0
CUST000244,644,0.3584,0.2489,3,0,0,0,0
CUST000245,720,0.5825,0.0756,1,0,0,0,0
CUST000246,655,0.1437,0.4218,7,1,0,0,0
CUST000247,694,0.3346,0.138,8,0,0,0,0
CUST000248,604,0.1712,0.2622,2,0,1,0,0
CUST000249,646,0.2936,0.2661,1,1,0,0,0
CUST000250,539,0.1507,0.164,2,0,0,0,0
CUST000251,721,0.1241,0.167,5,0,0,0,0
CUST000252,492,0.1833,0.0921,2,0,0,0,0
CUST000253,693,0.1688,0.0379,5,0,1,0,0
CUST000254,527,0.7722,0.59,2,0,0,1,1
CUST000255,565,0.3833,0.2059,3,0,0,0,1
CUST000256,562,0.4693,0.2841,4,0,0,0,1
CUST000257,727,0.3561,0.6321,6,0,1,0,0
CUST000258,541,0.2889,0.2642,8,1,0,0,1
CUST000259,633,0.1476,0.178,5,0,1,0,0
CUST000260,612,0.2274,0.4758,4,0,0,0,0
CUST000261,627,0.4637,0.3054,6,1,0,1,2
CUST000262,717,0.1044,0.2596,1,0,0,0,1
CUST000263,639,0.0946,0.6561,7,0,0,0,1
CUST000264,637,0.357,0.1843,4,1,0,0,0
CUST000265,568,0.7389,0.3205,5,0,0,0,2
CUST000266,564,0.6656,0.3186,4,1,0,0,1
CUST000267,524,0.5636,0.2827,3,0,0,0,1
CUST000268,618,0.3926,0.1222,4,0,0,0,0
CUST000269,784,0.199,0.3145,5,0,0,0,0
CUST000270,666,0.2465,0.1903,5,1,0,0,0
CUST000271,655,0.1833,0.5408,5,0,0,0,0
CUST000272,510,0.1673,0.3224,7,1,0,0,0
CUST000273,750,0.1405,0.2345,5,1,0,0,0
CUST000274,794,0.759,0.3518,2,0,0,0,1
CUST000275,575,0.3637,0.2416,3,0,0,0,1
CUST000276,562,0.173,0.3067,3,0,0,1,0
CUST000277,779,0.3715,0.3755,5,1,0,0,0
CUST000278,685,0.1571,0.1991,2,0,0,0,1
CUST000279,805,0.2727,0.6604,1,0,0,0,0
CUST000280,756,0.203,0.4644,4,0,0,0,0
CUST000281,477,0.6728,0.2611,3,0,0,0,0
CUST000282,793,0.3879,0.5096,1,0,0,0,0
CUST000283,662,0.4809,0.2799,4,1,0,0,0
CUST000284,652,0.1217,0.6267,4,1,0,0,1
CUST000285,653,0.3595,0.545,8,0,0,0,1
CUST000286,643,0.2244,0.0994,7,0,0,0,1
CUST000287,513,0.4855,0.4785,6,1,0,0,0
CUST000288,775,0.0884,0.513,7,0,0,1,0
CUST000289,600,0.1814,0.1888,3,0,0,0,1
CUST000290,622,0.2353,0.2484,2,1,1,1,0
CUST000291,702,0.0919,0.4313,11,0,0,0,0
CUST000292,807,0.2193,0.2594,4,0,1,0,0
CUST000293,642,0.3458,0.1511,2,1,0,0,1
CUST000294,668,0.2777,0.1676,8,0,0,0,1
CUST000295,776,0.1514,0.2188,3,0,1,1,0
CUST000296,701,0.3151,0.1249,3,0,0,0,0
CUST000297,692,0.3335,0.2958,7,0,0,0,1
CUST000298,390,0.3398,0.0616,6,0,0,0,0
CUST000299,623,0.5568,0.0771,4,0,0,0,1
CUST000300,665,0.2204,0.4493,11,0,0,0,2
CUST000301,664,0.3867,0.2765,8,1,0,0,0
CUST000302,732,0.065,0.3148,3,0,0,0,2
CUST000303,540,0.2299,0.3133,5,0,0,0,0
CUST000304,558,0.5102,0.1412,5,1,0,0,0
CUST000305,738,0.2617,0.2929,7,1,0,0,1
CUST000306,748,0.2837,0.2565,0,0,0,0,2
CUST000307,557,0.1716,0.2451,5,0,1,0,0
CUST000308,674,0.1002,0.4378,2,0,0,0,1
CUST000309,628,0.1138,0.278,4,1,0,0,0
CUST000310,592,0.655,0.3035,5,0,0,0,0
CUST000311,542,0.3996,0.2489,6,0,0,0,2
CUST000312,569,0.4315,0.3547,6,0,0,0,2
CUST000313,576,0.0935,0.3231,4,0,0,1,0
CUST000314,790,0.2771,0.462,3,0,1,0,1
CUST000315,695,0.2106,0.7184,5,1,0,0,0
CUST000316,676,0.2347,0.3066,4,0,0,0,0
CUST000317,549,0.5737,0.3415,1,0,0,0,1
CUST000318,769,0.2436,0.2823,2,0,0,0,2
CUST000319,780,0.2555,0.4434,5,0,1,0,0
CUST000320,672,0.2457,0.185,5,0,0,0,0
CUST000321,662,0.587,0.3841,3,0,0,0,0
CUST000322,662,0.1192,0.5741,4,0,0,1,0
CUST000323,717,0.128,0.1676,1,0,0,0,0
CUST000324,519,0.2927,0.1918,2,0,0,0,1
CUST000325,554,0.3491,0.3598,4,0,0,0,1
CUST000326,578,0.1455,0.1048,2,1,0,0,0
CUST000327,608,0.1897,0.3716,2,0,0,0,0
CUST000328,677,0.1935,0.3612,3,0,0,1,0
CUST000329,742,0.055,0.2774,6,0,0,1,2
CUST000330,734,0.2027,0.2828,1,0,0,0,0
CUST000331,509,0.3135,0.3977,1,2,0,1,0
CUST000332,820,0.0854,0.0649,5,1,0,0,1
CUST000333,849,0.5541,0.4248,3,0,0,0,1
CUST000334,798,0.1553,0.0861,5,1,1,0,1
CUST000335,588,0.1749,0.2117,4,0,0,0,0
CUST000336,606,0.1057,0.0469,4,0,0,0,0
CUST000337,508,0.5324,0.1101,4,0,1,0,2
CUST000338,676,0.3112,0.1512,8,0,0,0,1
CUST000339,674,0.0702,0.5467,4,1,0,0,0
CUST000340,617,0.2544,0.3616,8,0,0,0,0
CUST000341,568,0.0742,0.37,2,0,0,0,1
CUST000342,670,0.4095,0.4834,5,0,0,0,1
CUST000343,635,0.4591,0.34,2,2,0,0,1
CUST000344,685,0.3793,0.3634,4,0,0,0,0
CUST000345,791,0.0518,0.424,5,0,0,0,0
CUST000346,710,0.3882,0.0943,1,0,0,0,0
CUST000347,672,0.2747,0.2923,6,2,0,0,0
CUST000348,668,0.2542,0.5404,5,0,0,0,0
CUST000349,557,0.2593,0.4202,5,0,0,1,0
CUST000350,645,0.4317,0.6099,4,0,0,0,0
CUST000351,678,0.4156,0.2729,2,0,3,0,2
CUST000352,733,0.3476,0.1235,3,0,0,0,1
CUST000353,710,0.0128,0.3199,3,0,0,0,0
CUST000354,627,0.2524,0.1864,3,1,0,0,1
CUST000355,774,0.4315,0.2356,1,0,0,1,0
CUST000356,475,0.2949,0.4968,4,0,0,0,0
CUST000357,701,0.1239,0.3704,8,0,0,0,0
CUST000358,564,0.3633,0.7141,7,0,0,0,0
CUST000359,788,0.4439,0.4171,4,0,1,0,0
CUST000360,739,0.1466,0.7447,2,0,0,1,0
CUST000361,518,0.1653,0.435,4,0,0,0,0
CUST000362,560,0.3375,0.3332,2,1,0,0,0
CUST000363,494,0.3037,0.1035,8,0,1,0,0
CUST000364,718,0.3184,0.2284,0,0,0,0,0
CUST000365,691,0.4135,0.2514,6,0,0,0,1
CUST000366,732,0.3693,0.5914,2,0,0,0,1
CUST000367,410,0.3699,0.3807,3,0,2,0,0
CUST000368,576,0.0456,0.2182,2,0,0,0,1
CUST000369,716,0.3953,0.2947,12,1,0,0,1
CUST000370,765,0.0422,0.5995,6,0,0,0,0
CUST000371,619,0.455,0.1253,2,1,0,0,1
CUST000372,676,0.2421,0.2256,2,1,1,0,1
CUST000373,720,0.2596,0.1298,1,0,0,1,1
CUST000374,789,0.3109,0.4803,6,1,0,1,1
CUST000375,510,0.2569,0.1379,2,0,0,0,1
CUST000376,631,0.274,0.4084,2,0,0,0,0
CUST000377,513,0.6095,0.4005,4,0,0,0,0
CUST000378,691,0.2645,0.2533,6,1,0,0,0
CUST000379,520,0.5753,0.2202,3,0,0,0,0
CUST000380,650,0.381,0.4822,2,0,0,0,0
CUST000381,660,0.2787,0.1287,5,0,0,0,0
CUST000382,577,0.0893,0.3308,3,0,0,0,0
CUST000383,740,0.1595,0.3638,5,1,0,0,1
CUST000384,671,0.2126,0.5118,3,0,1,0,1
CUST000385,654,0.4195,0.1944,1,0,0,0,1
CUST000386,588,0.2019,0.3281,1,0,1,0,0
CUST000387,632,0.4523,0.081,4,0,0,0,0
CUST000388,568,0.5052,0.1984,2,3,0,0,1
CUST000389,622,0.1444,0.0892,3,0,0,1,1
CUST000390,651,0.3,0.2948,4,1,0,0,0
CUST000391,883,0.1835,0.1606,4,1,0,0,1
CUST000392,643,0.0825,0.3503,4,0,0,1,1
CUST000393,586,0.3015,0.1204,10,0,0,0,0
CUST000394,534,0.1694,0.3202,4,1,0,0,1
CUST000395,708,0.4648,0.3457,10,0,0,0,0
CUST000396,556,0.5225,0.4459,9,0,0,0,1
CUST000397,684,0.1956,0.5844,1,0,0,0,2
CUST000398,774,0.3326,0.5604,6,0,0,0,0
CUST000399,718,0.1918,0.6805,2,0,0,1,0
CUST000400,566,0.1206,0.1604,4,0,0,0,0
CUST000401,671,0.1334,0.4555,7,1,0,1,0
CUST000402,766,0.2758,0.5597,2,0,0,0,0
CUST000403,680,0.1661,0.185,5,0,0,0,0
CUST000404,632,0.2325,0.6383,5,1,0,0,0
CUST000405,730,0.1475,0.0987,4,1,0,0,0
CUST000406,695,0.1718,0.3215,3,0,0,0,2
CUST000407,662,0.3295,0.1908,5,0,0,0,0
CUST000408,711,0.2606,0.3122,4,0,0,0,0
CUST000409,676,0.6484,0.5168,2,0,0,0,0
CUST000410,609,0.4666,0.3535,4,0,0,0,0
CUST000411,668,0.5403,0.2494,5,0,1,0,0
CUST000412,627,0.3186,0.4539,7,1,0,0,0
CUST000413,754,0.4017,0.1273,2,0,0,0,0
CUST000414,626,0.1526,0.553,5,0,0,0,0
CUST000415,626,0.1719,0.3637,2,0,0,0,0
CUST000416,724,0.3871,0.2714,3,0,0,1,1
CUST000417,629,0.1415,0.551,3,1,0,0,1
CUST000418,659,0.1197,0.3535,2,0,0,0,0
CUST000419,619,0.236,0.1194,7,0,0,0,1
CUST000420,580,0.0887,0.4589,2,1,1,0,2
CUST000421,623,0.1737,0.2578,2,0,0,0,1
CUST000422,595,0.1408,0.1288,1,1,0,0,0
CUST000423,897,0.0783,0.4869,0,0,0,0,1
CUST000424,625,0.3064,0.1964,3,0,0,0,0
CUST000425,607,0.1478,0.4452,2,0,1,0,1
CUST000426,728,0.1799,0.6404,2,0,1,0,0
CUST000427,723,0.2306,0.2888,3,0,0,0,1
CUST000428,568,0.5235,0.256,5,1,0,0,1
CUST000429,671,0.6695,0.1727,4,2,0,0,1
CUST000430,626,0.1403,0.2457,3,0,0,0,0
CUST000431,676,0.2971,0.1596,5,1,0,1,0
CUST000432,626,0.2798,0.4913,4,0,0,0,0
CUST000433,464,0.3709,0.448,3,2,0,0,0
CUST000434,699,0.3352,0.3369,4,0,0,0,0
CUST000435,691,0.3821,0.1804,5,2,1,0,1
CUST000436,539,0.3631,0.559,1,0,0,0,1
CUST000437,740,0.1795,0.3799,4,0,1,0,0
CUST000438,740,0.1094,0.4193,5,0,0,0,0
CUST000439,758,0.5151,0.363,7,0,0,0,0
CUST000440,511,0.4271,0.3284,6,0,0,0,0
CUST000441,726,0.0751,0.7365,4,0,0,0,0
CUST000442,574,0.1619,0.6759,4,0,0,0,0
CUST000443,540,0.4218,0.2324,7,0,0,0,0
CUST000444,604,0.3161,0.6319,4,0,0,1,0
CUST000445,629,0.0617,0.2417,7,0,0,0,0
CUST000446,604,0.2895,0.4695,1,0,0,0,0
CUST000447,757,0.0356,0.3946,6,0,0,0,0
CUST000448,557,0.2566,0.0987,2,1,0,0,0
CUST000449,738,0.3077,0.2304,2,1,0,0,1
CUST000450,611,0.0708,0.3951,6,0,1,0,0
CUST000451,658,0.3162,0.213,2,0,0,0,0
CUST000452,625,0.2426,0.5613,3,0,0,0,0
CUST000453,577,0.4732,0.3212,5,0,2,0,0
CUST000454,575,0.1744,0.3793,8,0,0,0,1
CUST000455,532,0.2667,0.4362,5,0,0,1,0
CUST000456,524,0.3371,0.453,2,1,1,0,1
CUST000457,634,0.4167,0.3947,2,0,0,0,0
CUST000458,774,0.176,0.4107,3,0,0,0,1
CUST000459,549,0.1714,0.2693,3,0,0,0,0
CUST000460,666,0.1482,0.7337,8,0,0,0,0
CUST000461,637,0.4088,0.389,3,1,0,0,0
CUST000462,766,0.2475,0.1406,6,0,0,0,0
CUST000463,693,0.0085,0.0711,3,0,0,0,1
CUST000464,592,0.5396,0.2235,5,0,0,0,0
CUST000465,543,0.5146,0.4933,5,0,0,0,1
CUST000466,477,0.1366,0.104,2,0,0,0,0
CUST000467,581,0.5103,0.6879,6,1,0,0,1
CUST000468,845,0.1549,0.4852,3,0,0,0,1
CUST000469,597,0.402,0.309,5,1,0,0,2
CUST000470,480,0.1767,0.667,4,0,0,0,2
CUST000471,502,0.231,0.3939,3,0,0,0,2
CUST000472,793,0.1754,0.1702,4,0,0,0,1
CUST000473,610,0.0981,0.5854,5,0,0,0,0
CUST000474,686,0.2684,0.3017,5,0,0,0,0
CUST000475,678,0.1123,0.2133,4,0,0,0,0
CUST000476,593,0.0996,0.2019,3,0,0,0,0
CUST000477,607,0.3585,0.5115,1,1,0,0,1
CUST000478,566,0.4306,0.4688,4,0,0,0,0
CUST000479,486,0.1381,0.0653,1,0,0,0,0
CUST000480,742,0.1354,0.3201,3,0,0,0,0
CUST000481,722,0.1962,0.7795,2,0,0,0,0
CUST000482,648,0.3188,0.2704,7,0,0,0,0
CUST000483,657,0.1801,0.1881,5,0,0,0,1
CUST000484,739,0.4844,0.2418,3,0,0,0,1
CUST000485,444,0.3541,0.3701,3,0,0,0,0
CUST000486,697,0.3187,0.5115,3,0,0,0,0
CUST000487,743,0.1971,0.6617,5,1,0,0,1
CUST000488,820,0.2658,0.306,6,0,0,0,0
CUST000489,733,0.4791,0.1893,5,2,0,0,0
CUST000490,794,0.1875,0.222,5,0,0,0,0
CUST000491,630,0.5313,0.2991,10,0,0,1,0
CUST000492,652,0.2724,0.254,3,1,0,0,0
CUST000493,577,0.3086,0.5511,7,1,1,0,0
CUST000494,595,0.2435,0.239,7,1,0,0,0
CUST000495,735,0.1366,0.3755,1,0,0,0,0
CUST000496,689,0.0403,0.2119,0,1,0,0,0
CUST000497,697,0.1527,0.3338,6,1,1,0,0
CUST000498,512,0.4021,0.0377,2,0,1,0,0
